Rower_1,Rower_2,Rower_3,Rower_4,Rower_5,Rower_6,Rower_7,Rower_8
275.4181337803988,291.0207952060296,306.5764620194527,286.411537690093,248.8539759957569,277.0307045036527,275.8591292004393,267.6965213515671
280.9345531854754,285.78650681742744,311.07250404608556,279.76866534750536,249.06416901819227,285.61403092967845,287.47121743672864,281.55738836765124
287.5671977491976,287.08197666275424,304.88852062198197,281.1977961950082,238.2028502903733,279.1786690347883,282.44527512375987,285.7637390063489
284.651903845926,293.2971433155927,302.8947671164762,297.7442676763113,249.47471767485106,286.3620449155088,285.15627397094477,280.13313800151496
284.92858430821417,281.5601386733854,307.3556980071966,263.2195355595992,247.9046772152991,276.43089170282354,294.4291460170851,286.8964935265513
284.76676117083827,291.36086863413976,308.6921234663258,283.3331314726386,245.43015094807637,288.2145932656796,287.01571784113446,291.82215518981474
274.12405027725947,277.9202674597111,309.7683538929222,268.22932218459914,252.86223307378083,287.13986070845084,289.84162420475474,276.44249845630935
265.9234951675322,287.25952172385496,308.4245802260119,282.1075187142063,242.2099889982706,275.8622417655908,289.179298513927,278.07554481362337
279.19587721066273,296.5506351810021,302.57844712445296,268.77508753462575,232.50715252587807,280.62844999050486,286.6509102270808,276.71369533221537
279.95817842356035,291.1791505881893,313.18142566491565,276.47991190296057,247.39189956306637,288.1471362038504,290.40987756043523,288.16253330349747
281.9657166520945,272.87412081355956,305.7295315536292,274.684961361472,254.98302989786475,289.48890160454914,287.79185930830613,281.2156560172389
269.129519188796,271.9985413956351,310.52800677459794,269.1348565211095,249.16953493081834,287.6070914559639,288.8537802307884,278.92229110644286
272.3619685989697,269.7844029630486,312.06862703089655,265.92292121377517,256.08979330971067,280.11185702172224,295.5212511376099,281.03253054915757
271.5635724178865,286.9714390754827,303.0463426315371,289.61168359009946,244.4182522912176,287.8078670960467,287.1651096486025,277.6604582337978
261.0730304036153,268.6703565780232,322.13297049037294,289.938697125411,247.58801103197317,287.5687568274667,286.82609606459886,280.20175483196755
259.0341133264734,280.7890554066385,312.32515278288383,280.2674580355681,239.4357756244164,282.18875144148166,279.8807041252337,272.65033759687833
269.20990565014057,294.4833997361421,310.5365756968645,285.3195910005834,233.82892229752392,283.8202579707694,286.1554134587947,286.72081238189764
258.96430942778557,279.8766991899522,306.312057883253,283.10594327834076,253.25124999133857,275.6795942464426,285.672261754504,276.756590292303
